 i,   x(i),   F(i)
         367   1.3090116364000002        2.4901944636399999E-003
         368   1.3125784256000002        2.4905511425600000E-003
         369   1.3161452148000001        2.4909078214800000E-003
         370   1.3197120040000001        2.4912645004000001E-003
         371   1.3232787932000001        2.4916211793200001E-003
         372   1.3268455824000001        2.4919778582399997E-003
         373   1.3304123716000003        2.4923345371599998E-003
         374   1.3339791608000002        2.4926912160799998E-003
         375   1.3375459500000002        2.4930478949999999E-003
         376   1.3411127392000002        2.4934045739199999E-003
         377   1.3446795284000002        2.4937612528400000E-003
         378   1.3482463176000001        2.4941179317600000E-003
         379   1.3518131068000001        2.4944746106800001E-003
         380   1.3553798960000001        2.4948312896000001E-003
         381   1.3589466852000001        2.4951879685199997E-003
         382   1.3625134744000003        2.4955446474399998E-003
         383   1.3660802636000002        2.4959013263599998E-003
         384   1.3696470528000002        2.4962580052799999E-003
         385   1.3732138420000002        2.4966146841999999E-003
         386   1.3767806312000002        2.4969713631200000E-003
         387   1.3803474204000001        2.4973280420400000E-003
         388   1.3839142096000001        2.4976847209600000E-003
         389   1.3874809988000001        2.4980413998800001E-003
         390   1.3910477880000001        2.4983980787999997E-003
         391   1.3946145772000003        2.4987547577199998E-003
         392   1.3981813664000002        2.4991114366399998E-003
         393   1.4017481556000002        2.4994681155599999E-003
         394   1.4053149448000002        2.4998247944799999E-003
         395   1.4088817340000002        2.5001814733999999E-003
         396   1.4124485232000001        2.5005381523200000E-003
         397   1.4160153124000001        2.5008948312400000E-003
         398   1.4195821016000001        2.5012515101600001E-003
         399   1.4231488908000001        2.5016081890799997E-003
         400   1.4267156800000003        2.5019648679999998E-003
         401   1.4302824692000002        2.5023215469199998E-003
         402   1.4338492584000002        2.5026782258399998E-003
         403   1.4374160476000002        2.5030349047599999E-003
         404   1.4409828368000002        2.5033915836799999E-003
         405   1.4445496260000001        2.5037482626000000E-003
         406   1.4481164152000001        2.5041049415200000E-003
         407   1.4516832044000001        2.5044616204400001E-003
         408   1.4552499936000001        2.5048182993600001E-003
         409   1.4588167828000003        2.5051749782799997E-003
         410   1.4623835720000002        2.5055316571999998E-003
         411   1.4659503612000002        2.5058883361199998E-003
         412   1.4695171504000002        2.5062450150399999E-003
         413   1.4730839396000002        2.5066016939599999E-003
         414   1.4766507288000001        2.5069583728800000E-003
         415   1.4802175180000001        2.5073150518000000E-003
         416   1.4837843072000001        2.5076717307200001E-003
         417   1.4873510964000001        2.5080284096399997E-003
         418   1.4909178856000003        2.5083850885599997E-003
